Year,Fruits.acf,total.acf,aborted.acf,success.acf,predated.acf,Site,Mean.Fruits,CV.Fruits,m.total,m.aborted,m.sucessess,m.predated,total.cv,aborted.cv,success.cv,predated.cv,Prop.aborted,Prop.sucessess,Prop.predated
2018,0.18955138868999216,0.48775676459600614,0.24296312145975035,0.27141857610225073,0.46479103612945244,McDevitt,6.074074074074074,1.3309778080590116,5.296296296296297,1.3703703703703705,1.4074074074074074,2.5185185185185186,1.1192475193510756,1.1800372001025108,0.9794506197596702,1.2047680421270068,0.25874125874125875,0.26573426573426573,0.4755244755244755
2019,0.41391486864465465,-0.1853838719542526,-0.07320536180085593,0.3735587142456916,-0.2811842576772763,McDevitt,0.05,2.8284271247461903,1.4,0.75,0.05,0.6,1.59550927257817,0.7233080969922867,2.8284271247461903,1.1818736805705579,0.5357142857142857,0.03571428571428572,0.4285714285714286
2020,NA,-0.30502710233686875,-0.20270659929544443,NA,NA,McDevitt,3.4210526315789473,1.522727232583719,2.4210526315789473,0.3684210526315789,0.5789473684210527,1.4736842105263157,1.4784917409939617,1.0714285714285714,1.343026063881287,1.2801217655730557,0.15217391304347824,0.2391304347826087,0.608695652173913
2003,NA,NA,NA,NA,NA,Reservoir,0.018072289156626505,5.8303270942118575,0.9156626506024096,0.7891566265060241,0.012048192771084338,0.1144578313253012,1.7687881729512636,0.8951431239507275,5.521938362449231,1.829650984139783,0.861842105263158,0.013157894736842106,0.125
2004,-0.01180439744070227,0.2909049454589467,0.2661699814280752,-0.015312959092585744,0.07407569246391305,Reservoir,0.04285714285714286,4.7129022705173735,1.1952380952380952,0.9095238095238095,0.0380952380952381,0.24761904761904763,2.520609394377801,1.25115295788752,3.6381813638634943,1.43543115972476,0.7609561752988048,0.03187250996015937,0.20717131474103587
2005,0.1110157404839936,0.31942295024455525,0.19508143379928086,0.11797950312831045,0.01206998850350155,Reservoir,3.0044642857142856,2.4675107231924858,2.888392857142857,0.65625,0.6964285714285714,1.5357142857142858,1.2575582960327396,1.6422903345678823,2.067795357660485,1.129983520513563,0.22720247295208654,0.241112828438949,0.5316846986089645
2006,0.259073633368268,0.2814069168504934,0.08675100457263563,0.24675574415695853,0.08441137095505519,Reservoir,5.866108786610878,1.374377189899332,3.092050209205021,0.7573221757322176,1.6234309623430963,0.7112970711297071,1.9894377294665426,1.1732044311354788,1.1416824615908254,2.463093950307077,0.24492557510148852,0.5250338294993234,0.23004059539918809
2007,0.15240563496783757,0.3360788414309583,0.20059678668233313,0.15991641055003206,0.15441701970686864,Reservoir,0.1440329218106996,3.643141313822261,2.4074074074074074,1.7078189300411524,0.13580246913580246,0.5637860082304527,1.8470071136865427,1.134690044486258,3.3349363949203616,2.340509836728789,0.7094017094017094,0.056410256410256404,0.2341880341880342
2008,0.07174015841563959,0.35623785179318423,0.2879286516567198,0.14066602458418043,0.16053149045372572,Reservoir,9.319148936170214,1.1997264526527505,5.008510638297873,1.127659574468085,2.578723404255319,1.3021276595744682,2.0732857476199698,1.195969153047601,2.6065640863534885,2.823295724393749,0.2251486830926083,0.5148683092608326,0.25998300764655907
2009,-0.11102355154363239,0.08910630184297041,0.1334119080168076,-0.07542567502097722,0.0801570192252199,Reservoir,2.2614107883817427,1.8560385422693138,1.7717842323651452,0.7261410788381742,0.7925311203319502,0.25311203319502074,2.5025521674803874,1.1245576961653871,1.4377065534661437,2.520154036956573,0.4098360655737705,0.44730679156908665,0.14285714285714285
